Glyph,Count,
0,12,
1,2,
2,7,
3,3,
4,3,
5,1,
6,2,
7,8,
8,10,
9,4,
10,1,
11,7,
12,1,
13,5,
14,4,
15,1,
16,10,
17,22,
18,2,
19,3,
20,1,
21,8,
22,3,
23,2,
24,8,
25,6,
26,0,
27,10,
28,2,
29,6,
30,9,
31,3,
32,13,
33,8,
34,1,
35,6,
36,8,
37,2,
38,6,
39,2,
40,21,
41,4,
42,1,
43,12,
44,4,
45,2,
46,1,
47,11,
48,2,
49,7,
50,8,
51,1,
52,2,
53,2,
54,4,
55,2,
56,1,
57,1,
58,15,
59,8,
60,2,
61,4,
62,8,
63,1,
64,9,
65,11,
66,15,
67,3,
68,5,
69,9,
70,3,
71,8,
72,5,
73,2,
74,4,
75,3,
76,1,
77,1,
78,5,
79,2,
80,2,
81,2,
82,14,
83,14,
84,2,
85,7,
86,7,
87,24,
88,12,
89,8,
90,4,
91,12,
92,4,
93,5,
94,8,
95,2,
96,12,
97,13,
98,2,
99,2,
100,18,
101,1,
102,3,
103,2,
104,3,
105,2,
106,4,
107,1,
108,8,
109,6,
110,27,
111,2,
112,13,
113,2,
114,3,
115,2,
116,4,
117,3,
118,7,
119,1,
120,8,
121,13,
