Count,Top,Middle,Bottom,
1,26,110,40,
1,27,110,40,
2,27,110,40,
3,27,110,40,
4,27,110,40,
5,27,110,40,
6,27,110,40,
7,27,110,40,
8,27,110,40,
9,27,110,40,
10,27,110,40,
1,38,110,40,
2,38,110,40,
3,38,110,40,
4,38,110,40,
5,38,110,40,
6,38,110,40,
1,39,114,46,
1,39,114,41,
1,120,114,41,
1,120,113,41,
2,120,113,41,
1,120,115,59,
2,120,115,59,
1,120,116,59,
2,120,116,59,
3,120,116,59,
1,119,116,59,
1,121,117,59,
2,121,117,59,
1,121,117,60,
1,121,118,60,
1,121,118,63,
1,121,118,62,
2,121,118,62,
3,121,118,62,
4,121,118,62,
5,121,118,62,
1,121,89,62,
2,121,89,62,
3,121,89,62,
1,101,89,61,
1,100,89,61,
2,100,89,61,
3,100,89,61,
1,100,89,65,
1,100,88,65,
2,100,88,65,
3,100,88,65,
4,100,88,65,
5,100,88,65,
6,100,88,65,
7,100,88,65,
8,100,88,65,
9,100,88,65,
10,100,88,65,
1,100,88,64,
2,100,88,64,
1,100,87,64,
2,100,87,64,
1,99,87,64,
2,99,87,64,
1,103,87,64,
2,103,87,64,
1,102,87,64,
1,102,87,93,
2,102,87,93,
1,66,87,93,
2,66,87,93,
3,66,87,93,
1,66,87,92,
2,66,87,92,
3,66,87,92,
4,66,87,92,
1,66,87,91,
2,66,87,91,
3,66,87,91,
4,66,87,91,
5,66,87,91,
6,66,87,91,
7,66,87,91,
8,66,87,91,
1,49,86,91,
2,49,86,91,
3,49,86,91,
4,49,86,91,
1,49,86,90,
2,49,86,90,
3,49,86,90,
1,51,23,90,
1,50,23,98,
1,50,20,98,
1,50,21,97,
2,50,21,97,
3,50,21,97,
4,50,21,97,
5,50,21,97,
6,50,21,97,
1,52,21,97,
2,52,21,97,
1,48,22,97,
2,48,22,97,
1,47,22,97,
1,47,19,97,
2,47,19,97,
1,47,19,94,
1,47,18,94,
2,47,18,94,
1,47,3,94,
2,47,3,94,
3,47,3,94,
1,47,10,94,
1,47,9,94,
1,57,9,96,
1,58,9,96,
2,58,9,96,
1,58,6,96,
2,58,6,96,
1,58,7,96,
2,58,7,96,
3,58,7,96,
4,58,7,96,
5,58,7,96,
6,58,7,96,
7,58,7,96,
1,58,7,95,
1,58,5,95,
1,58,4,34,
1,58,4,36,
1,56,4,36,
1,53,8,36,
2,53,8,36,
1,54,8,36,
2,54,8,36,
3,54,8,36,
4,54,8,36,
1,55,8,35,
2,55,8,35,
1,83,8,35,
2,83,8,35,
1,83,1,35,
2,83,1,35,
1,83,0,37,
2,83,0,37,
1,83,0,28,
2,83,0,28,
1,83,0,31,
2,83,0,31,
3,83,0,31,
1,83,0,30,
2,83,0,30,
3,83,0,30,
1,81,0,30,
2,81,0,30,
1,108,2,30,
2,108,2,30,
3,108,2,30,
4,108,2,30,
1,108,2,29,
2,108,2,29,
3,108,2,29,
1,108,42,29,
1,109,43,29,
2,109,43,29,
1,109,43,32,
2,109,43,32,
3,109,43,32,
4,109,43,32,
1,107,43,32,
1,104,43,32,
2,104,43,32,
3,104,43,32,
1,105,43,32,
2,105,43,32,
1,106,44,32,
2,106,44,32,
3,106,44,32,
1,106,44,33,
1,85,45,33,
2,85,45,33,
1,85,74,33,
2,85,74,33,
3,85,74,33,
4,85,74,33,
1,85,76,33,
1,84,75,13,
2,84,75,13,
1,16,75,13,
1,16,80,13,
2,16,80,13,
1,16,79,11,
2,16,79,11,
1,16,78,11,
2,16,78,11,
3,16,78,11,
4,16,78,11,
5,16,78,11,
1,14,77,12,
1,14,82,73,
2,14,82,73,
1,14,82,71,
1,15,82,71,
1,17,82,71,
2,17,82,71,
3,17,82,71,
4,17,82,71,
5,17,82,71,
6,17,82,71,
1,17,82,72,
2,17,82,72,
3,17,82,72,
4,17,82,72,
1,17,111,72,
1,17,111,67,
1,17,112,67,
2,17,112,67,
1,17,112,68,
2,17,112,68,
3,17,112,68,
4,17,112,68,
5,17,112,68,
1,17,112,69,
2,17,112,69,
3,17,112,69,
1,25,112,69,
2,25,112,69,
3,25,112,69,
1,25,110,69,
2,25,110,69,
3,25,110,69,
1,24,110,70,
2,24,110,70,
3,24,110,70,
1,24,110,40,
2,24,110,40,
3,24,110,40,
4,24,110,40,
5,24,110,40,
